Consumer,Producer,Consumerrating,Producerrating,TAG
111,100,0.18153781425127913,0.34637837294987994,G
110,100,0.10108665766115621,0.3908929475767422,G
114,100,0.11738995898295435,0.315363441163531,G
113,100,0.22794663855933806,0.4214149551479639,G
110,100,0.6950873814970582,0.0022247194959470473,G
112,100,0.8712617879291955,0.7807691496852602,G
113,100,0.28454857685285795,0.6304153641909682,G
110,100,0.8167211786506677,0.8075652941988823,G
114,100,0.22027841038021134,0.010377808426669466,G
114,100,0.23296487628781104,0.9676706101513046,G
110,100,0.8911001741460698,0.5832209388945969,G
114,100,0.8856571502430943,0.6309896045297996,G
115,100,0.28058348206805794,0.5370143487101597,G
115,100,0.5700165520925665,0.6929278286658949,G
110,100,0.5514338588325164,0.8775516447788297,G
113,100,0.05110454162150724,0.8649943240708388,G
112,100,0.8423321549735934,0.37124136217005077,G
111,100,0.6876167734778805,0.8111920805301636,G
110,100,0.8870940722841575,0.7923525915526235,G
110,100,0.7634989992488874,0.7554297533922676,G
112,100,0.24772397138329916,0.8887376499083549,G
114,100,0.3913986504795016,0.4809049076507398,G
110,100,0.1934736148105477,0.43527007255214056,G
110,100,0.4134584610769825,0.4948692879074048,G
113,100,0.23822643955629386,0.9341838972455079,G
113,100,0.5037609013755987,0.8884252586706934,G
112,100,0.1751689294608153,0.8556449712859702,G
114,100,0.12054214159450238,0.2342951191329703,G
113,100,0.04096909962590223,0.11919078342695322,G
112,100,0.6710803341080454,0.8247979454833911,G
111,100,0.621997474144495,0.765118230688513,G
113,100,0.7478509653547281,0.19242927090318807,G
111,100,0.6399397853695268,0.915867298849852,G
113,100,0.9613985274069988,0.8149519045921412,G
112,100,0.11023944332229418,0.47716506318796614,G
111,100,0.4629012051978446,0.3562258718755189,G
114,100,0.4671305773359937,0.021843218344676396,G
111,100,0.6648335234074098,0.7060281207150522,G
113,100,0.27366249008418186,0.9017552014025608,G
112,100,0.19487624554686278,0.19956766693207673,G
112,100,0.3097688199895483,0.6825123493048496,G
114,100,0.9247302682202165,0.4778896299539461,G
115,100,0.1633012829752234,0.3024127041852559,G
111,100,0.9510414561540512,0.3316075212147954,G
114,100,0.5518065654428272,0.31377874180137655,G
112,100,0.3238943128062418,0.4512833385724183,G
113,100,0.4003584314440236,0.46454751061011945,G
