Consumer,Producer,Consumerrating,Producerrating,TAG,Consumerdis,Consumersat,Consumercum_dis,Consumercum_sat,Producerdis,Producersat,Producercum_dis,Producercum_sat,honesty,bayesT,Consumerbel,Consumerdisbel,Consumerunc,ConsumerT,ConsumerT_dash,Consumersum_tdt
110,100,0.10108665766115621,0.3908929475767422,G,0.4494566711694219,0.5505433288305781,0.4494566711694219,0.5505433288305781,0.3045535262116289,0.6954464737883711,0.3045535262116289,0.6954464737883711,0.6954464737883711,0.5505433288305781,0.5499933354950831,0.44900766350591603,0.0009990009990009992,0.5499933354950831,0.45000666450491705,1.0000000000000002
110,100,0.6950873814970582,0.0022247194959470473,G,0.1524563092514709,0.8475436907485291,0.6019129804208928,1.398087019579107,0.4988876402520265,0.5011123597479735,0.8034411664636554,1.1965588335363446,0.6306684357749053,0.6495434494698951,0.6986941627081995,0.30080608716686297,0.0004997501249375313,0.6986941627081995,0.3013058372918005,1.0
110,100,0.8167211786506677,0.8075652941988823,G,0.09163941067466613,0.9083605893253339,0.693552391095559,2.306447608904441,0.09621735290055883,0.9037826470994412,0.8996585193642141,2.1003414806357856,0.6653911313267502,0.7091796595523544,0.7685596830737891,0.23110709466696402,0.0003332222592469177,0.7685596830737891,0.23144031692621095,1.0
110,100,0.8911001741460698,0.5832209388945969,G,0.054449912926965105,0.9455500870730349,0.7480023040225241,3.251997695977476,0.20838953055270154,0.7916104694472985,1.1080480499169156,2.891951950083084,0.6884298738043586,0.7507075653291603,0.8127962249381344,0.18695383754624445,0.0002499375156210947,0.8127962249381344,0.18720377506186556,1.0
110,100,0.5514338588325164,0.8775516447788297,G,0.2242830705837418,0.7757169294162582,0.9722853746062659,4.027714625393735,0.06122417761058513,0.9387758223894149,1.1692722275275007,3.830727772472499,0.7143351007010723,0.7689860185790225,0.8053818487090051,0.19441819128299656,0.0001999600079984003,0.8053818487090051,0.19461815129099497,1.0
110,100,0.8870940722841575,0.7923525915526235,G,0.05645296385792126,0.9435470361420788,1.028738338464187,4.971261661535813,0.10382370422368825,0.8961762957763117,1.273095931751189,4.72690406824881,0.7353300275602331,0.7860024733438642,0.8284055426655246,0.17142781844095767,0.00016663889351774703,0.8284055426655246,0.17159445733447543,1.0
110,100,0.7634989992488874,0.7554297533922676,G,0.11825050037555629,0.8817494996244437,1.1469888388397433,5.853011161160257,0.1222851233038662,0.8777148766961338,1.3953810550550552,5.604618944944944,0.7516624829896371,0.7985379679064788,0.8360250194486869,0.16383214381370423,0.00014283673760891302,0.8360250194486869,0.16397498055131315,1.0
110,100,0.1934736148105477,0.43527007255214056,G,0.40326319259472615,0.5967368074052739,1.5502520314344694,6.449747968565531,0.2823649637239297,0.7176350362760703,1.677746018778985,6.322253981221015,0.7602445418036349,0.8002447519429705,0.8061177313542722,0.1937572842687751,0.0001249843769528809,0.8061177313542722,0.19388226864572797,1.0000000000000002
110,100,0.4134584610769825,0.4948692879074048,G,0.29327076946150876,0.7067292305384912,1.843522800895978,7.156477199104023,0.2525653560462976,0.7474346439537024,1.9303113748252825,7.069688625174717,0.7652998251134571,0.7992286282011324,0.7950757914791715,0.20481310975402492,0.00011109876680368848,0.7950757914791715,0.2049242085208286,1.0
110,100,0.5835566695232047,0.05991538970088506,G,0.20822166523839764,0.7917783347616023,2.0517444661343758,7.948255533865625,0.47004230514955747,0.5299576948504425,2.40035367997484,7.599646320025159,0.7643297900023769,0.7984280691439379,0.7947460787786846,0.20515393122031556,9.999000099990002e-05,0.7947460787786846,0.20525392122131544,1.0
110,100,0.8309154243172906,0.6587552465422545,G,0.0845422878413547,0.9154577121586454,2.1362867539757304,8.86371324602427,0.17062237672887276,0.8293776232711272,2.5709760567037128,8.429023943296286,0.7646539756579851,0.7996554098324372,0.8057188661052878,0.19419023306751482,9.09008271975275e-05,0.8057188661052878,0.19428113389471235,1.0
110,100,0.2784944102360811,0.01591846493810367,G,0.36075279488195944,0.6392472051180406,2.49703954885769,9.502960451142311,0.49204076753094816,0.5079592324690518,3.063016824234661,8.936983175765338,0.7615916098614405,0.7984643269241432,0.7918473836465554,0.20806928996397717,8.332638946754438e-05,0.7918473836465554,0.2081526163534447,1.0
