Consumer,Producer,Consumerrating,Producerrating,Consumerdis,Consumersat,Consumercum_dis,Consumercum_sat,Producerdis,Producersat,Producercum_dis,Producercum_sat,honesty,bayesT,Consumerbel,Consumerdisbel,Consumerunc,ConsumerT,ConsumerT_dash,Consumersum_tdt
101.0,100.0,0.9435446857880733,0.6211919796283552,0.00011783798947629257,0.004056719928453005,0.00011783798947629257,0.004056719928453005,0.0007906780104087863,0.0033838799075205112,0.0007906780104087863,0.0033838799075205112,0.8105959898141776,0.9717723428940367,0.7839742047135849,0.02277257136653092,0.19325322391988414,0.7839742047135849,0.21602579528641505,1.0
101.0,100.0,0.8937206431916938,0.08675057713981094,0.0002464829613758599,0.004391914725212248,0.00036432095085215245,0.008448634653665254,0.002118007005136313,0.002520390681451795,0.0029086850155450993,0.005904270588972306,0.7151600250840804,0.9628751924303974,0.8609673776345135,0.03712652594539782,0.10190609642008863,0.8609673776345135,0.13903262236548647,1.0
101.0,100.0,0.351768186925555,0.17868939851298138,0.0016704205234096224,0.003483354683910497,0.002034741474261775,0.01193198933757575,0.0021164251077264856,0.003037350099593634,0.005025110123271585,0.008941620688565941,0.6763228439638187,0.9066232247739601,0.7972341780970946,0.13595096349648061,0.06681485840642483,0.7972341780970946,0.20276582190290543,1.0
101.0,100.0,1.0,0.1654334664217466,0.0,0.005726416897022355,0.002034741474261775,0.017658406234598106,0.0023895379497859423,0.0033368789472364127,0.007414648073057527,0.012278499635802353,0.6540187882881867,0.9024245152946131,0.8533455848786874,0.09832923936412967,0.04832517575718288,0.8533455848786874,0.14665441512131255,1.0
101.0,100.0,1.0,0.3311835373240146,0.0,0.00636268544113595,0.002034741474261775,0.024021091675734057,0.0021277343849302687,0.0042349510562056806,0.009542382457987796,0.016513450692008033,0.6467625251555686,0.9094072739466964,0.8878341148307146,0.0752052787648895,0.036960606404395795,0.8878341148307146,0.1121658851692853,0.9999999999999999
101.0,100.0,1.0,0.18460130446839607,0.0,0.007069650490151055,0.002034741474261775,0.031090742165885112,0.0028822918937667676,0.004187358596384288,0.012424674351754563,0.02070080928839232,0.6399258910731449,0.9185369931049948,0.911071107262153,0.05962527874236501,0.02930361399548199,0.911071107262153,0.088928892737847,1.0
101.0,100.0,1.0,0.907649331908193,0.0,0.00785516721127895,0.002034741474261775,0.038945909377164065,0.0003627149699672339,0.007492452241311717,0.012787389321721796,0.02819326152970404,0.6533356765328449,0.9274169825784826,0.9277109474790646,0.048468554750686205,0.023820497770249215,0.9277109474790646,0.07228905252093543,1.0
101.0,100.0,1.0,0.04456405359191118,0.0,0.008727963568087723,0.002034741474261775,0.047673872945251786,0.004169505065945606,0.0045584585021421166,0.016956894387667402,0.032751720031846156,0.6547366109858783,0.9354226612413151,0.9401533347143882,0.04012615011383097,0.019720515171780802,0.9401533347143882,0.05984666528561178,1.0
101.0,100.0,1.0,0.9191956637804093,0.0,0.009697737297875247,0.002034741474261775,0.057371610243127036,0.00039180961259338825,0.009305927685281858,0.01734870400026079,0.04205764771712801,0.6670923505682649,0.9424620961181127,0.949761219011209,0.033684230489225954,0.016554550499565033,0.949761219011209,0.05023878098879099,1.0
101.0,100.0,1.0,0.9235716995782429,0.0,0.01077526366430583,0.002034741474261775,0.06814687390743286,0.0004117675442296045,0.010363496120076225,0.017760471544490397,0.05242114383720424,0.6842754937053541,0.9486053805932545,0.9573662179765282,0.02858521070856503,0.014048571314906746,0.9573662179765282,0.042633782023471775,1.0
101.0,100.0,1.0,0.13439028224812077,0.0,0.011972515182562033,0.002034741474261775,0.0801193890899949,0.005181762743978805,0.006790752438583227,0.022942234288469202,0.05921189627578747,0.6916135564530191,0.9539635798149155,0.9635046214340885,0.024469517755217763,0.012025860810693682,0.9635046214340885,0.036495378565911445,1.0
101.0,100.0,1.0,0.6395578571587271,0.0,0.013302794647291146,0.002034741474261775,0.09342218373728604,0.0023974439042235176,0.010905350743067628,0.02533967819269272,0.07011724701885509,0.6997489648466266,0.9586482612104315,0.9685378580376056,0.021094819991402503,0.010367321970991878,0.9685378580376056,0.03146214196239438,1.0
101.0,100.0,1.0,0.2088532078554478,0.0,0.014780882941434608,0.002034741474261775,0.10820306667872065,0.005846924062090061,0.008933958879344547,0.031186602254782782,0.07905120589819964,0.7028638745113172,0.9627589604868577,0.972718435173694,0.018291815598015456,0.008989749228290496,0.972718435173694,0.027281564826305952,1.0
101.0,100.0,1.0,0.6967845099577842,0.0,0.016423203268260675,0.002034741474261775,0.12462626994698132,0.0024898848135242904,0.013933318454736384,0.03367648706830707,0.09298452435293603,0.7082095274495754,0.9663806037152375,0.976228126030993,0.015938628807723742,0.007833245161283421,0.976228126030993,0.023771873969007165,1.0000000000000002
101.0,100.0,1.0,0.9957267761824962,0.0,0.01824800363140075,0.002034741474261775,0.14287427357838206,3.898890186979908e-05,0.018209014729530952,0.03371547597017687,0.11119353908246699,0.7178846869742525,0.9695843672086705,0.9792011379614423,0.013945275920940471,0.006853586117617208,0.9792011379614423,0.02079886203855768,0.9999999999999999
101.0,100.0,1.0,0.8377857221320496,0.0,0.020275559590445275,0.002034741474261775,0.16314983316882734,0.0016444926286663382,0.018631066961778936,0.03535996859884321,0.12982460604424592,0.7285832962345868,0.9724295419763985,0.9817387294772729,0.012243864863100222,0.006017405659626819,0.9817387294772729,0.018261270522727042,1.0
101.0,100.0,1.0,0.777884137703552,0.0,0.022528399544939195,0.002034741474261775,0.18567823271376654,0.0025019574455415377,0.020026442099397655,0.03786192604438475,0.14985104814364358,0.7391503780884476,0.9749655032531692,0.9839187449229747,0.010782202352629,0.005299052724396299,0.9839187449229747,0.0160812550770253,1.0
101.0,100.0,1.0,0.4750723793939683,0.0,0.025031555049932437,0.002034741474261775,0.21070978776369897,0.006569877316214966,0.01846167773371747,0.044431803360599716,0.16831272587736107,0.7467735719341168,0.9772334785831668,0.9858020156816121,0.00951950200323727,0.004678482315150648,0.9858020156816121,0.014197984318387919,1.0
101.0,100.0,1.0,0.5495912853160309,0.0,0.027812838944369374,0.002034741474261775,0.23852262670806834,0.006263572520322826,0.021549266424046545,0.050695375880922544,0.1898619923014076,0.7528148088795146,0.9792680376691176,0.9874367671038247,0.008423429554531037,0.004139803341644248,0.9874367671038247,0.012563232896175284,1.0
